industry,model_name,intent_type,mention_status,run_count,citation_count,avg_citations_per_run,category,category_label,category_count,category_share_pct
電腦類,gemini,知識型,有品牌提及,44,460,10.45,ecommerce_site,電商 / 平台,86,18.7
電腦類,gemini,知識型,有品牌提及,44,460,10.45,other_category,其他來源,7,1.5
電腦類,gemini,知識型,有品牌提及,44,460,10.45,unknown,未知來源,0,0.0
電腦類,gemini,知識型,無品牌提及,10,92,9.2,brand_site,品牌 / 官方型來源,47,51.1
電腦類,gemini,知識型,無品牌提及,10,92,9.2,influencer_blogger,評測 / 部落格 / KOL,9,9.8
電腦類,gemini,知識型,無品牌提及,10,92,9.2,news_media,新聞媒體,6,6.5
電腦類,gemini,知識型,無品牌提及,10,92,9.2,social_media,社群媒體,17,18.5
電腦類,gemini,知識型,無品牌提及,10,92,9.2,ecommerce_site,電商 / 平台,11,12.0
電腦類,gemini,知識型,無品牌提及,10,92,9.2,other_category,其他來源,2,2.2
電腦類,gemini,知識型,無品牌提及,10,92,9.2,unknown,未知來源,0,0.0
