industry,intent_type,model_name,category,count,percentage
行銷類,比較型,chatgpt,brand_site,85,50.5952
行銷類,比較型,chatgpt,influencer_blogger,29,17.2619
行銷類,比較型,chatgpt,news_media,14,8.3333
行銷類,比較型,chatgpt,social_media,1,0.5952
行銷類,比較型,chatgpt,unknown,39,23.2143
行銷類,比較型,gemini,brand_site,239,41.4931
行銷類,比較型,gemini,ecommerce_site,21,3.6458
行銷類,比較型,gemini,influencer_blogger,236,40.9722
行銷類,比較型,gemini,news_media,15,2.6042
行銷類,比較型,gemini,other_category,5,0.8681
行銷類,比較型,gemini,social_media,12,2.0833
行銷類,比較型,gemini,unknown,48,8.3333
行銷類,知識型,chatgpt,brand_site,137,60.0877
行銷類,知識型,chatgpt,ecommerce_site,1,0.4386
行銷類,知識型,chatgpt,influencer_blogger,34,14.9123
行銷類,知識型,chatgpt,news_media,30,13.1579
行銷類,知識型,chatgpt,other_category,3,1.3158
行銷類,知識型,chatgpt,unknown,23,10.0877
行銷類,知識型,gemini,brand_site,328,64.1879
行銷類,知識型,gemini,ecommerce_site,3,0.5871
行銷類,知識型,gemini,influencer_blogger,118,23.092
行銷類,知識型,gemini,news_media,19,3.7182
行銷類,知識型,gemini,other_category,8,1.5656
行銷類,知識型,gemini,social_media,8,1.5656
行銷類,知識型,gemini,unknown,27,5.2838
金融類,推薦型,chatgpt,brand_site,26,10.4
金融類,推薦型,chatgpt,ecommerce_site,6,2.4
金融類,推薦型,chatgpt,influencer_blogger,139,55.6
金融類,推薦型,chatgpt,news_media,51,20.4
金融類,推薦型,chatgpt,other_category,28,11.2
金融類,推薦型,gemini,brand_site,15,2.4671
金融類,推薦型,gemini,ecommerce_site,6,0.9868
金融類,推薦型,gemini,influencer_blogger,305,50.1645
金融類,推薦型,gemini,news_media,126,20.7237
金融類,推薦型,gemini,other_category,35,5.7566
金融類,推薦型,gemini,social_media,22,3.6184
金融類,推薦型,gemini,unknown,99,16.2829
金融類,比較型,chatgpt,brand_site,14,8.9172
金融類,比較型,chatgpt,ecommerce_site,5,3.1847
金融類,比較型,chatgpt,influencer_blogger,57,36.3057
金融類,比較型,chatgpt,news_media,22,14.0127
金融類,比較型,chatgpt,other_category,57,36.3057
金融類,比較型,chatgpt,social_media,2,1.2739
金融類,比較型,gemini,brand_site,51,7.1329
金融類,比較型,gemini,ecommerce_site,7,0.979
金融類,比較型,gemini,influencer_blogger,411,57.4825
金融類,比較型,gemini,news_media,82,11.4685
金融類,比較型,gemini,other_category,7,0.979
金融類,比較型,gemini,social_media,18,2.5175
金融類,比較型,gemini,unknown,139,19.4406
金融類,知識型,chatgpt,brand_site,17,9.8266
金融類,知識型,chatgpt,ecommerce_site,3,1.7341
金融類,知識型,chatgpt,influencer_blogger,64,36.9942
金融類,知識型,chatgpt,news_media,55,31.7919
金融類,知識型,chatgpt,other_category,33,19.0751
金融類,知識型,chatgpt,social_media,1,0.578
金融類,知識型,gemini,brand_site,70,12.4555
金融類,知識型,gemini,ecommerce_site,11,1.9573
金融類,知識型,gemini,influencer_blogger,277,49.2883
金融類,知識型,gemini,news_media,73,12.9893
金融類,知識型,gemini,other_category,14,2.4911
金融類,知識型,gemini,social_media,17,3.0249
金融類,知識型,gemini,unknown,100,17.7936
電腦類,推薦型,chatgpt,brand_site,20,8.6207
電腦類,推薦型,chatgpt,ecommerce_site,9,3.8793
電腦類,推薦型,chatgpt,influencer_blogger,70,30.1724
電腦類,推薦型,chatgpt,news_media,74,31.8966
電腦類,推薦型,chatgpt,other_category,48,20.6897
電腦類,推薦型,chatgpt,social_media,1,0.431
電腦類,推薦型,chatgpt,unknown,10,4.3103
電腦類,推薦型,gemini,brand_site,49,9.703
電腦類,推薦型,gemini,ecommerce_site,53,10.495
電腦類,推薦型,gemini,influencer_blogger,175,34.6535
電腦類,推薦型,gemini,news_media,100,19.802
電腦類,推薦型,gemini,other_category,87,17.2277
電腦類,推薦型,gemini,social_media,38,7.5248
電腦類,推薦型,gemini,unknown,3,0.5941
電腦類,比較型,chatgpt,brand_site,42,17.7966
電腦類,比較型,chatgpt,ecommerce_site,9,3.8136
電腦類,比較型,chatgpt,influencer_blogger,75,31.7797
電腦類,比較型,chatgpt,news_media,42,17.7966
電腦類,比較型,chatgpt,other_category,53,22.4576
電腦類,比較型,chatgpt,unknown,15,6.3559
電腦類,比較型,gemini,brand_site,74,15.7113
電腦類,比較型,gemini,ecommerce_site,45,9.5541
電腦類,比較型,gemini,influencer_blogger,155,32.9087
電腦類,比較型,gemini,news_media,62,13.1635
電腦類,比較型,gemini,other_category,62,13.1635
電腦類,比較型,gemini,social_media,67,14.2251
電腦類,比較型,gemini,unknown,6,1.2739
電腦類,知識型,chatgpt,brand_site,15,10.8696
電腦類,知識型,chatgpt,ecommerce_site,6,4.3478
電腦類,知識型,chatgpt,influencer_blogger,39,28.2609
電腦類,知識型,chatgpt,news_media,10,7.2464
電腦類,知識型,chatgpt,other_category,63,45.6522
電腦類,知識型,chatgpt,social_media,1,0.7246
電腦類,知識型,chatgpt,unknown,4,2.8986
電腦類,知識型,gemini,brand_site,70,12.6812
電腦類,知識型,gemini,ecommerce_site,20,3.6232
電腦類,知識型,gemini,influencer_blogger,197,35.6884
電腦類,知識型,gemini,news_media,39,7.0652
電腦類,知識型,gemini,other_category,191,34.6014
電腦類,知識型,gemini,social_media,17,3.0797
電腦類,知識型,gemini,unknown,18,3.2609
食品業,推薦型,chatgpt,brand_site,28,9.7902
食品業,推薦型,chatgpt,ecommerce_site,10,3.4965
食品業,推薦型,chatgpt,influencer_blogger,90,31.4685
食品業,推薦型,chatgpt,news_media,121,42.3077
食品業,推薦型,chatgpt,other_category,36,12.5874
食品業,推薦型,chatgpt,unknown,1,0.3497
食品業,推薦型,gemini,brand_site,81,10.3053
食品業,推薦型,gemini,ecommerce_site,20,2.5445
食品業,推薦型,gemini,influencer_blogger,397,50.5089
食品業,推薦型,gemini,news_media,249,31.6794
食品業,推薦型,gemini,other_category,19,2.4173
食品業,推薦型,gemini,social_media,14,1.7812
食品業,推薦型,gemini,unknown,6,0.7634
食品業,比較型,chatgpt,brand_site,36,16.2896
食品業,比較型,chatgpt,ecommerce_site,21,9.5023
食品業,比較型,chatgpt,influencer_blogger,55,24.8869
食品業,比較型,chatgpt,news_media,74,33.4842
食品業,比較型,chatgpt,other_category,29,13.1222
食品業,比較型,chatgpt,social_media,1,0.4525
食品業,比較型,chatgpt,unknown,5,2.2624
食品業,比較型,gemini,brand_site,131,18.2706
食品業,比較型,gemini,ecommerce_site,42,5.8577
食品業,比較型,gemini,influencer_blogger,273,38.0753
食品業,比較型,gemini,news_media,226,31.5202
食品業,比較型,gemini,other_category,27,3.7657
食品業,比較型,gemini,social_media,12,1.6736
食品業,比較型,gemini,unknown,6,0.8368
食品業,知識型,chatgpt,brand_site,42,34.4262
食品業,知識型,chatgpt,ecommerce_site,12,9.8361
食品業,知識型,chatgpt,influencer_blogger,28,22.9508
食品業,知識型,chatgpt,news_media,19,15.5738
食品業,知識型,chatgpt,other_category,16,13.1148
食品業,知識型,chatgpt,unknown,5,4.0984
食品業,知識型,gemini,brand_site,117,28.7469
食品業,知識型,gemini,ecommerce_site,20,4.914
食品業,知識型,gemini,influencer_blogger,108,26.5356
食品業,知識型,gemini,news_media,127,31.2039
食品業,知識型,gemini,other_category,31,7.6167
食品業,知識型,gemini,social_media,4,0.9828
